Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-07-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-19,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-20,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-21,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-22,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-25,-9999,-9999,9.28,-9999,-9999,-9999,-9999
1979-07-26,-9999,-9999,44.82,-9999,-9999,-9999,-9999
1979-07-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-07-28,-9999,-9999,1.32,-9999,-9999,-9999,-9999
1979-07-29,-9999,-9999,7.87,-9999,-9999,-9999,-9999
1979-07-30,-9999,-9999,19.43,-9999,-9999,-9999,-9999
1979-07-31,-9999,-9999,13.44,-9999,-9999,-9999,-9999
1979-08-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-03,-9999,-9999,0.99,-9999,-9999,-9999,-9999
1979-08-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-12,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-13,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-08-19,-9999,-9999,0,-9999,-9999,-9999,-9999
